site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,fruit.collected,height,flower.dev,dev.seed,seed.weight,notes,,
AveryPicnic,control,south,Mertensia,29,I,open-hand,6/21/19,7/2/19,16,,,7/12/19,,,14,10,28,0.023,,,
AveryPicnic,control,south,Mertensia,28,K,open-hand,6/21/19,7/10/19,28,,,7/12/19,,,12.8,13,29,0.022,,,
AveryPicnic,control,south,Mertensia,28,E,open-hand,6/21/19,7/5/19,16,,,7/12/19,,,11.5,4,16,0.009,,,
AveryPicnic,control,south,Mertensia,8,E,open-hand,6/25/19,7/16/19,44,,,7/16/19,,,19.6,11,29,0.018,,,
AveryPicnic,control,south,Mertensia,4,C,open-hand,,7/10/19,33,,,7/12/19,,,14.5,20,74,0.04,,,
AveryPicnic,control,south,Mertensia,3,L,open-hand,6/25/19,7/10/19,43,,,7/12/19,,,15.4,25,80,0.036,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
