site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,height,dev.seed1,undev.seed1,weight1,dev.seed,undev.seed,notes,weight.rest,
Pfieler,control,south,Delphinium nutt,11,B,open-hand,7/11/19,7/25/19,6,,,,,,29.7,,,,75,38,12+,0.034,
Pfieler,control,south,Delphinium nutt,10,B,open-hand,7/11/19,7/25/19,6,,,,,,26,41,16,0.012,0,15,10+,0,
Pfieler,control,south,Delphinium nutt,10,M,open-hand,7/11/19,7/25/19,4,,,,,,20,,,,85,45,10+,0.036,
Pfieler,control,south,Delphinium nutt,1,D,open-hand,7/18/19,7/25/19,4,,,,,,27.5,7,4,0.004,53,11,1+,0.013,
Pfieler,control,south,Delphinium nutt,12,B,open-hand,7/18/19,7/22/19,2,,,,,,14.2,15,5,0.004,,,1+,,
RustlersGulch,manip,south,Delphinium nutt,30,B,open-hand,,,3,,,,,,19,20,11,0.008,,,,,
RustlersGulch,manip,south,Delphinium nutt,27,P,open-hand,,7/19/19,5,,,,,,20.8,,,,72,14,,0.024,
RustlersGulch,manip,south,Delphinium nutt,25,D,open-hand,,7/19/19,2,,,,,,16.2,29,7,0.012,,,,,
RustlersGulch,manip,south,Delphinium nutt,21,N,open-hand,,7/19/19,3,,,,,,27.1,,,,54,22,,0.027,
RustlersGulch,manip,south,Delphinium nutt,15,C,open-hand,,7/19/19,4,,,,,,19.2,33,24,0.017,50,16,,0.017,
RustlersGulch,manip,south,Delphinium nutt,25,H,open-hand,,7/24/19,6,,,,,,25.5,51,3,0.022,120,23,,0.045,
RustlersGulch,manip,south,Delphinium nutt,27,C,open-hand,,7/24/19,5,,,,,,29.5,,,,31,19,,0.009,
RustlersGulch,manip,south,Delphinium nutt,20,C,open-hand,,7/19/19,6,,,,,,24.4,44,14,0.019,41,1,,0.012,
RustlersGulch,manip,south,Delphinium nutt,26,F,open,,7/24/19,3,,,,,,21,8,5,0.006,30,5,,0.029,
RustlersGulch,manip,south,Delphinium nutt,21,D,open,,7/19/19,6,,,,,,24.2,62,2,0.033,114,61,,0.044,
RustlersGulch,manip,south,Delphinium nutt,20,F,open,,7/19/19,7,,,,,,21.5,,,,152,61,,0.059,
RustlersGulch,manip,south,Delphinium nutt,19,C,open,,7/24/19,3,,,,,,20.2,,,,41,25,,0.014,
RustlersGulch,manip,south,Delphinium nutt,17,I,open,,7/19/19,3,,,,,,22.1,,,,64,5,,0.043,
RustlersGulch,manip,south,Delphinium nutt,16,L,open,,7/19/19,6,,,,,,17.5,65,6,0.035,26,4,,0.014,
RustlersGulch,manip,south,Delphinium nutt,15,M,open,,7/24/19,3,,,,,,17.4,,,,,,,,
RustlersGulch,manip,south,Delphinium nutt,15,J,open,,7/19/19,2,,,,,,17,,,,,,,,
RustlersGulch,control,north,Delphinium nutt,30,O,open,7/12/19,7/19/19,2,,,,,,17.9,,,,,,,,
RustlersGulch,control,north,Delphinium nutt,27,C,open,7/12/19,7/19/19,7,,,,,,40.7,25,33,0.014,117,42,,0.044,
RustlersGulch,control,north,Delphinium nutt,19,P,open,7/12/19,7/24/19,4,,,,,,27,,,,36,17,,0.008,
RustlersGulch,control,north,Delphinium nutt,18,L,open,7/12/19,7/19/19,2,,,,,,17.5,,,,37,14,,0.014,
RustlersGulch,control,north,Delphinium nutt,17,L,open,,7/24/19,3,,,,,,22.3,51,2,0.038,92,14,,0.044,(1st flower says hand on packet)
RustlersGulch,control,north,Delphinium nutt,13,O,open,7/12/19,7/24/19,8,,,,,,25.3,50,5,0.02,98,12,,0.071,
RustlersGulch,control,north,Delphinium nutt,10,M,open,7/12/19,7/19/19,2,,,,,,15.5,,,,,,,,
RustlersGulch,control,north,Delphinium nutt,13,I,open,7/12/19,,3,,,,,,21,,,,28,7,,0.01,
RustlersGulch,control,north,Delphinium nutt,28,C,open-hand,7/12/19,7/19/19,4,,,,,,19,,,,28,3,,0.008,
RustlersGulch,control,north,Delphinium nutt,25,N,open-hand,7/12/19,7/19/19,2,,,,,,25.5,,,,0,0,,0,
RustlersGulch,control,north,Delphinium nutt,17,P,open-hand,7/12/19,7/24/19,5,,,,,,27.1,90,11,0.034,83,5,,0.024,
RustlersGulch,control,north,Delphinium nutt,16,I,open-hand,7/12/19,7/24/19,4,,,,,,21.2,,,,70,8,,0.025,
RustlersGulch,control,north,Delphinium nutt,16,N,open-hand,7/12/19,7/24/19,4,,,,,,19.8,,,,22,19,,0.009,
RustlersGulch,control,north,Delphinium nutt,13,J,open-hand,7/12/19,7/19/19,3,,,,,,23.7,,,,66,36,,0.038,
RustlersGulch,control,north,Delphinium nutt,13,N,open-hand,7/12/19,7/19/19,1,,,,,,22.5,,,,39,2,,0.014,
RustlersGulch,control,north,Delphinium nutt,4,O,open-hand,7/12/19,7/19/19,3,,,,,,24,,,,37,5,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
